Journal,ISSN,eISSN,Press,Area,Rate
Academy of Management Review,0363-7425,1930-3807,AOM,GenMan,AAA
Administrative Science Quarterly,0001-8392,NA,Sage,GenMan,AAA
American Economic Review,0002-8282,1944-7981,AEA,GenEcon,AAA
Econometrica,0012-9682,1468-0262,Wiley,GenEcon,AAA
Journal of Finance,0022-1082,1540-6261,Wiley,Fin,AAA
Journal of Political Economy,0022-3808,1537-534X,Chicago,GenEcon,AAA
Quarterly Journal of Economics,0033-5533,1531-4650,Oxford,GenEcon,AAA
Review of Economic Studies,0034-6527,1467-937X,Wiley,GenEcon,AAA
Academy of Management Journal,0001-4273,1948-0989,AOM,GenMan,AA
Accounting Review,0001-4826,1558-7967,AAA,AccAud,AA
Econometric Theory,0266-4666,1469-4360,Cambridge,EconStat,AA
Economic Journal,0013-0133,1468-0297,Wiley,GenEcon,AA
Information Systems Research,1047-7047,1526-5536,Informs,InfSyst,AA
International Economic Review,0020-6598,1468-2354,Wiley,GenEcon,AA
Journal of Accounting and Economics,0165-4101,NA,Elsevier,AccAud,AA
Journal of Accounting Research,0021-8456,1475-679X,Wiley,AccAud,AA
Journal of Business and Economic Statistics,0735-0015,1537-2707,Taylor,EconStat,AA
Journal of Business Venturing,0883-9026,NA,Elsevier,InnovEntrSB,AA
Journal of Consumer Research,0093-5301,1537-5277,Oxford,Mkt,AA
Journal of Econometrics,0304-4076,NA,Elsevier,EconStat,AA
Journal of Economic Literature,0022-0515,NA,AEA,GenEcon,AA
Journal of Economic Perspectives,0895-3309,NA,AEA,GenEcon,AA
Journal of Economic Theory,0022-0531,1095-7235,Elsevier,Theory,AA
Journal of Financial and Quantitative Analysis,0022-1090,1756-6916,Cambridge,Fin,AA
Journal of Financial Economics,0304-405X,NA,Elsevier,Fin,AA
Journal of International Business Studies,0047-2506,1478-6990,Palgrave,StratIM,AA
Journal of International Economics,0022-1996,NA,Elsevier,Macro,AA
Journal of Labor Economics,0734-306X,1537-5307,Chicago,LaborPop,AA
Journal of Management Studies,0022-2380,1467-6486,Wiley,GenMan,AA
Journal of Marketing,0022-2429,1547-7185,AMA,Mkt,AA
Journal of Marketing Research,0022-2437,1547-7193,AMA,Mkt,AA
Journal of Monetary Economics,0304-3932,NA,Elsevier,Macro,AA
Journal of Operations Management,0272-6963,NA,Elsevier,ProdOper,AA
Journal of the European Economic Association,1542-4766,1542-4774,Wiley,GenEcon,AA
Management Science,0025-1909,1526-5501,Informs,OR,AA
Marketing Science,0732-2399,1526-548X,Informs,Mkt,AA
MIS Quarterly,0276-7783,NA,Other,InfSyst,AA
Operations Research,0030-364X,1526-5463,Informs,OR,AA
Organization Science,1047-7039,1526-5455,Informs,OrgPsy,AA
Organizational Behavior and Human Decision Processes,0749-5978,1095-9920,Elsevier,OrgPsy,AA
Personnel Psychology,0031-5826,1744-6570,Wiley,HRM,AA
RAND Journal of Economics,0741-6261,1756-2171,Wiley,Micro,AA
Review of Economics and Statistics,0034-6535,1530-9142,MIT,GenEcon,AA
Review of Finance,1572-3097,1573-692X,Oxford,Fin,AA
Review of Financial Studies,0893-9454,1465-7368,Oxford,Fin,AA
Strategic Management Journal,0143-2095,1097-0266,Wiley,StratIM,AA
Academy of Management Annals,1941-6520,1941-6067,Taylor,GenMan,A
Academy of Management Learning and Education,1537-260X,1944-9585,AOM,HRM,A
Academy of Management Perspectives,1558-9080,1943-4529,AOM,GenMan,A
"Accounting, Organizations and Society",0361-3682,NA,Elsevier,AccAud,A
American Economic Journal - Applied Economics,1945-7782,1945-7790,AEA,Micro,A
American Economic Journal - Economic Policy,1945-7731,1945-774X,AEA,PubPolicy,A
American Economic Journal - Macroeconomics,1945-7707,1945-7715,AEA,Macro,A
American Economic Journal - Microeconomics,1945-7669,1945-7685,AEA,Micro,A
American Journal of Sociology,0002-9602,1537-5390,Chicago,SocialSc,A
American Sociological Review,0003-1224,1939-8271,Sage,SocialSc,A
Annals of Statistics,0090-5364,NA,Other,EconStat,A
Annual Review of Economics,1941-1383,1941-1391,AR,GenEcon,A
Annual Review of Financial Economics,1941-1367,1941-1375,AR,Fin,A
Annual Review of Psychology,0066-4308,1545-2085,AR,SocialPsy,A
Annual Review of Sociology,0360-0572,1545-2115,AR,SocialPsy,A
Biometrika,0006-3444,1464-3510,Oxford,EconStat,A
Brookings Papers on Economic Activity,0007-2303,1533-4465,Other,Macro,A
Communications of the ACM,0001-0782,NA,ACM,InfSyst,A
Contemporary Accounting Research,0823-9150,1911-3846,Wiley,AccAud,A
Demography,0070-3370,1533-7790,Springer,LaborPop,A
Econometrics Journal,1368-4221,1368-423X,Wiley,EconStat,A
Economic Geography,0013-0095,1944-8287,Wiley,UrbReg,A
Economic Policy,0266-4658,1468-0327,Oxford,PubPolicy,A
Economic Theory,0938-2259,1432-0479,Springer,Theory,A
Entrepreneurship Theory and Practice,1042-2587,1540-6520,Wiley,InnovEntrSB,A
European Economic Review,0014-2921,NA,Elsevier,GenEcon,A
European Journal of Operational Research,0377-2217,NA,Elsevier,OR,A
Experimental Economics,1386-4157,1573-6938,Springer,Theory,A
Finance and Stochastics,0949-2984,1432-1122,Springer,Fin,A
Games and Economic Behavior,0899-8256,1090-2473,Elsevier,Theory,A
Global Environmental Change - Human and Policy Dimensions,0959-3780,NA,Elsevier,AgrEnvEn,A
Global Strategy Journal,2042-5791,2042-5805,Wiley,StratIM,A
Health Economics,1057-9230,1099-1050,Wiley,Health,A
Human Relations,0018-7267,1741-282X,Sage,HRM,A
ILR Review,0019-7939,2162-271X,Sage,HRM,A
IMF Economic Review,2041-4161,2041-417X,Palgrave,Macro,A
Industrial Relations,0019-8676,1468-232X,Wiley,HRM,A
International Journal of Management Reviews,1460-8545,1468-2370,Wiley,GenMan,A
International Journal of Research in Marketing,0167-8116,NA,Elsevier,Mkt,A
International Organization,0020-8183,1531-5088,Cambridge,PolitRel,A
Journal of Applied Econometrics,0883-7252,1099-1255,Wiley,EconStat,A
Journal of Applied Psychology,0021-9010,1939-1854,APA,OrgPsy,A
Journal of Conflict Resolution,0022-0027,1552-8766,Sage,PolitRel,A
Journal of Development Economics,0304-3878,NA,Elsevier,DevTrans,A
Journal of Economic Geography,1468-2702,1468-2710,Oxford,UrbReg,A
Journal of Economic Growth,1381-4338,1573-7020,Springer,Macro,A
Journal of Economic History,0022-0507,1471-6372,Cambridge,History,A
Journal of Economics and Management Strategy,1058-6407,1530-9134,Wiley,Micro,A
Journal of Environmental Economics and Management,0095-0696,1096-0449,Elsevier,AgrEnvEn,A
Journal of Experimental Social Psychology,0022-1031,1096-0465,Elsevier,SocialPsy,A
Journal of Financial Econometrics,1479-8409,1479-8417,Oxford,EconStat,A
Journal of Financial Intermediation,1042-9573,1096-0473,Elsevier,MarkFin,A
Journal of Financial Markets,1386-4181,NA,Elsevier,MarkFin,A
Journal of Health Economics,0167-6296,NA,Elsevier,Health,A
Journal of Human Resources,0022-166X,1548-8004,Wisconsin,LaborPop,A
Journal of Industrial Economics,0022-1821,1467-6451,Wiley,Micro,A
Journal of Information Technology,0268-3962,1466-4437,Palgrave,InfSyst,A
Journal of Law and Economics,0022-2186,1537-5285,Chicago,Law,A
Journal of Management,0149-2063,1557-1211,Sage,GenMan,A
Journal of Management Information Systems,0742-1222,1557-928X,Taylor,InfSyst,A
"Journal of Money, Credit and Banking",0022-2879,1538-4616,Wiley,Macro,A
Journal of Organizational Behavior,0894-3796,1099-1379,Wiley,OrgPsy,A
Journal of Personality and Social Psychology,0022-3514,1939-1315,APA,SocialPsy,A
Journal of Policy Analysis and Management,0276-8739,1520-6688,Wiley,PubAdm,A
Journal of Public Economics,0047-2727,NA,Elsevier,PubPolicy,A
Journal of Service Research,1094-6705,1552-7379,Sage,Sector,A
Journal of the Academy of Marketing Science,0092-0703,1552-7824,Springer,Mkt,A
Journal of the American Statistical Association,0162-1459,1537-274X,Taylor,EconStat,A
"Journal of the Royal Statistical Society, Series A - Statistics in Society",0964-1998,1467-985X,Wiley,EconStat,A
"Journal of the Royal Statistical Society, Series B - Statistical Methodology",1369-7412,1467-9868,Wiley,EconStat,A
Journal of Urban Economics,0094-1190,1095-9068,Elsevier,UrbReg,A
Journal of Vocational Behavior,0001-8791,1095-9084,Elsevier,HRM,A
Leadership Quarterly,1048-9843,NA,Elsevier,OrgPsy,A
M&SOM: Manufacturing and Service Operations Management,1523-4614,1526-5498,Informs,ProdOper,A
Mathematical Finance,0960-1627,1467-9965,Wiley,Fin,A
Mathematical Programming,0025-5610,1436-4646,Springer,OR,A
Mathematics of Operations Research,0364-765X,1526-5471,Informs,OR,A
Milbank Quarterly,0887-378X,1468-0009,Wiley,Health,A
Organization Studies,0170-8406,1741-3044,Sage,OrgPsy,A
Organizational Research Methods,1094-4281,1552-7425,Sage,OrgPsy,A
Personality and Social Psychology Bulletin,0146-1672,1552-7433,Sage,SocialPsy,A
Politics and Society,0032-3292,1552-7514,Sage,PolitRel,A
Psychological Bulletin,0033-2909,1939-1455,APA,SocialPsy,A
Psychological Review,0033-295X,1939-1471,APA,SocialPsy,A
Psychological Science,0956-7976,1467-9280,Sage,SocialPsy,A
Public Opinion Quarterly,0033-362X,1537-5331,Oxford,SocialSc,A
QME - Quantitative Marketing and Economics,1570-7156,1573-711X,Springer,Mkt,A
Quantitative Economics,1759-7323,1759-7331,Wiley,GenEcon,A
Quarterly Journal of Political Science,1554-0626,1554-0634,Now,PolitRel,A
Research in Organizational Behavior,0191-3085,NA,Elsevier,OrgPsy,A
Research Policy,0048-7333,NA,Elsevier,InnovEntrSB,A
Review of Accounting Studies,1380-6653,1573-7136,Springer,AccAud,A
Review of Economic Dynamics,1094-2025,1096-6099,Elsevier,Macro,A
Review of Environmental Economics and Policy,1750-6816,1750-6824,Oxford,AgrEnvEn,A
Sociological Methodology,0081-1750,1467-9531,Sage,SocialSc,A
Sociology,0038-0385,1469-8684,Sage,SocialSc,A
Strategic Organization,1476-1270,1741-315X,Sage,StratIM,A
Structural Equation Modeling,1070-5511,1532-8007,Taylor,EconStat,A
Theoretical Economics,1933-6837,1555-7561,Wiley,Theory,A
Transportation Research B - Methodological,0191-2615,NA,Elsevier,Transport,A
Transportation Science,0041-1655,1526-5447,Informs,Transport,A
World Bank Economic Review,0258-6770,1564-698X,Oxford,DevTrans,A
World Bank Research Observer,0257-3032,1564-6971,Oxford,DevTrans,A
Accident Analysis and Prevention,0001-4575,NA,Elsevier,ProdOper,B
American Journal of Agricultural Economics,0002-9092,1467-8276,Oxford,AgrEnvEn,B
American Law and Economics Review,1465-7252,1465-7260,Oxford,Law,B
Annals of Operations Research,0254-5330,1572-9338,Springer,OR,B
Annals of Tourism Research,0160-7383,NA,Elsevier,Leisure,B
Annual Review of Resource Economics,1941-1340,1941-1359,AR,AgrEnvEn,B
Applied Psychological Measurement,0146-6216,1552-3497,Sage,Theory,B
Applied Psychology: An International Review,0269-994X,1464-0597,Wiley,OrgPsy,B
Asia Pacific Journal of Management,0217-4561,1572-9958,Springer,GenMan,B
B. E. Journal of Economic Analysis and Policy (Frontiers),2194-6108,1935-1682,Gruyter,Micro,B
British Journal of Industrial Relations,0007-1080,1467-8543,Wiley,HRM,B
British Journal of Management,1045-3172,1467-8551,Wiley,GenMan,B
British Journal of Psychology,0007-1269,2044-8295,Wiley,SocialPsy,B
British Journal of Social Psychology,0144-6665,2044-8309,Wiley,SocialPsy,B
British Journal of Sociology,0007-1315,1468-4446,Wiley,SocialSc,B
Business and Society,0007-6503,1552-4205,Sage,SocialSc,B
Business Ethics Quarterly,1052-150X,2153-3326,Cambridge,Sector,B
Business Strategy and the Environment,0964-4733,1099-0836,Wiley,StratIM,B
California Management Review,0008-1256,2162-8564,Other,GenMan,B
Cambridge Journal of Economics,0309-166X,1464-3545,Oxford,GenEcon,B
"Cambridge Journal of Regions, Economy and Society",1752-1378,1752-1386,Oxford,UrbReg,B
Canadian Journal of Economics / Revue Canadienne d'Économique,0008-4085,1540-5982,Wiley,GenEcon,B
China Economic Review,1043-951X,NA,Elsevier,DevTrans,B
China Quarterly,0305-7410,1468-2648,Cambridge,PolitRel,B
Computational Statistics and Data Analysis,0167-9473,NA,Elsevier,EconStat,B
Computers and Operations Research,0305-0548,NA,Elsevier,OR,B
Conflict Management and Peace Science,0738-8942,1549-9219,Sage,PolitRel,B
Decision Sciences,0011-7315,1540-5915,Wiley,OR,B
Decision Support Systems and Electronic Commerce,0167-9236,NA,Elsevier,InfSyst,B
Development and Change,0012-155X,1467-7660,Wiley,DevTrans,B
Ecological Economics,0921-8009,NA,Elsevier,AgrEnvEn,B
Econometric Reviews,0747-4938,1532-4168,Taylor,EconStat,B
Economic Development and Cultural Change,0013-0079,1539-2988,Chicago,DevTrans,B
Economic History Review,0013-0117,1468-0289,Wiley,History,B
Economic Inquiry,0095-2583,1465-7295,Wiley,GenEcon,B
Economic Systems Research,0953-5314,1469-5758,Taylor,DevTrans,B
Economica,0013-0427,1468-0335,Wiley,GenEcon,B
Economics and Human Biology,1570-677X,NA,Elsevier,SocialSc,B
Economics of Education Review,0272-7757,NA,Elsevier,LaborPop,B
Economy and Society,0308-5147,1469-5766,Taylor,SocialSc,B
Energy Economics,0140-9883,1873-6181,Elsevier,AgrEnvEn,B
Energy Journal,0195-6574,NA,Other,AgrEnvEn,B
Energy Policy,0301-4215,NA,Elsevier,AgrEnvEn,B
Environment and Planning A,0308-518X,1472-3409,Sage,UrbReg,B
Environment and Planning D: Society and Space,0263-7758,1472-3433,Sage,UrbReg,B
Environmental and Resource Economics,0924-6460,1573-1502,Springer,AgrEnvEn,B
Environmental Science and Policy,1462-9011,NA,Elsevier,AgrEnvEn,B
European Financial Management,1354-7798,1468-036X,Wiley,Fin,B
European Journal of Information Systems,0960-085X,1476-9344,Palgrave,InfSyst,B
European Journal of Population / Revue Européene de Démographie,0168-6577,1572-9885,Springer,LaborPop,B
European Journal of Public Health,1101-1262,1464-360X,Oxford,Health,B
European Journal of Social Psychology,0046-2772,1099-0992,Wiley,SocialPsy,B
European Journal of Work and Organizational Psychology,1359-432X,1464-0643,Taylor,OrgPsy,B
European Review of Agricultural Economics,0165-1587,1464-3618,Oxford,AgrEnvEn,B
European Review of Economic History,1361-4916,1474-0044,Cambridge,History,B
European Urban and Regional Studies,0969-7764,1461-7145,Sage,UrbReg,B
Explorations in Economic History,0014-4983,NA,Elsevier,History,B
Family Business Review,0894-4865,1741-6248,Wiley,InnovEntrSB,B
Financial Analysts Journal,0015-198X,NA,Other,MarkFin,B
Financial Management,0046-3892,1755-053X,Wiley,Fin,B
Food Policy,0306-9192,NA,Elsevier,AgrEnvEn,B
"Gender, Work and Organization",0968-6673,1468-0432,Wiley,HRM,B
Global Networks - A Journal of Transnational Affairs,1470-2266,1471-0374,Wiley,PolitRel,B
"Governance: An International Journal of Policy, Administration and Institutions",0952-1895,1468-0491,Wiley,PubAdm,B
Group and Organization Management,1059-6011,1552-3993,Sage,OrgPsy,B
Group Processes and Intergroup Relations,1368-4302,1461-7188,Sage,OrgPsy,B
Harvard Business Review,0017-8012,NA,Other,GenMan,B
Health Services Research,0017-9124,1475-6773,Other,Health,B
Human Performance,0895-9285,1532-7043,Taylor,HRM,B
Human Resource Management,0090-4848,1099-050X,Wiley,HRM,B
Human Resource Management Journal,0954-5395,1748-8583,Wiley,HRM,B
Human Resource Management Review,1053-4822,NA,Elsevier,HRM,B
IIE Transactions,0740-817X,1545-8830,Taylor,ProdOper,B
Industrial and Corporate Change,0960-6491,1464-3650,Oxford,Micro,B
Information and Management,0378-7206,NA,Elsevier,InfSyst,B
Information and Organization,1471-7727,NA,Elsevier,InfSyst,B
Information Systems Journal,1350-1917,1365-2575,Wiley,InfSyst,B
INFORMS Journal on Computing,1091-9856,1526-5528,Informs,InfSyst,B
Insurance: Mathematics and Economics,0167-6687,NA,Elsevier,MarkFin,B
International Journal of Central Banking,1815-4654,NA,Other,Macro,B
International Journal of Electronic Commerce,1086-4415,1557-9301,Taylor,InfSyst,B
International Journal of Forecasting,0169-2070,NA,Elsevier,EconStat,B
International Journal of Game Theory,0020-7276,1432-1270,Springer,Theory,B
International Journal of Industrial Organization,0167-7187,NA,Elsevier,Micro,B
International Journal of Production Economics,0925-5273,NA,Elsevier,ProdOper,B
International Journal of Urban and Regional Research,0309-1317,1468-2427,Wiley,UrbReg,B
International Statistical Review,0306-7734,1751-5823,Wiley,EconStat,B
JCMS: Journal of Common Market Studies,0021-9886,1468-5965,Wiley,Macro,B
Journal of Advertising,0091-3367,1557-7805,Taylor,Mkt,B
Journal of Agrarian Change,1471-0358,1471-0366,Wiley,AgrEnvEn,B
Journal of Agricultural Economics,0021-857X,1477-9552,Wiley,AgrEnvEn,B
Journal of Banking and Finance,0378-4266,NA,Elsevier,MarkFin,B
Journal of Behavioral Decision Making,0894-3257,1099-0771,Wiley,Theory,B
Journal of Business and Psychology,0889-3268,1573-353X,Springer,OrgPsy,B
Journal of Business Logistics,0735-3766,2158-1592,Wiley,ProdOper,B
Journal of Comparative Economics,0147-5967,1095-7227,Elsevier,DevTrans,B
Journal of Consumer Psychology,1057-7408,1532-7663,Elsevier,Mkt,B
Journal of Corporate Finance,0929-1199,NA,Elsevier,Fin,B
Journal of Cross-Cultural Psychology,0022-0221,1552-5422,Sage,SocialPsy,B
Journal of Economic Behavior and Organization,0167-2681,NA,Elsevier,Theory,B
Journal of Economic Dynamics and Control,0165-1889,NA,Elsevier,Macro,B
Journal of Economic Inequality,1569-1721,1573-8701,Springer,LaborPop,B
Journal of Economic Psychology,0167-4870,NA,Elsevier,Theory,B
Journal of Economic Surveys,0950-0804,1467-6419,Wiley,GenEcon,B
Journal of Empirical Finance,0927-5398,NA,Elsevier,Fin,B
Journal of Environmental Management,0301-4797,1095-8630,Elsevier,AgrEnvEn,B
Journal of European Public Policy,1350-1763,1466-4429,Taylor,PubPolicy,B
Journal of Experimental Psychology: Applied,1076-898X,1939-2192,APA,SocialPsy,B
